time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000589,-0.0673,0.0464,0.1781,0.196
0.010413,-0.0366,0.0065,0.0505,0.063
0.020145,0.0312,-0.0516,-0.1847,0.194
0.030382,0.0200,-0.0309,-0.0866,0.094
0.040571,-0.0481,0.0376,0.0800,0.101
0.050250,-0.0373,0.0272,0.0800,0.092
0.060323,0.0407,-0.0019,-0.0867,0.096
0.070486,0.0300,-0.0209,-0.0572,0.068
0.080237,-0.0090,-0.0208,0.1388,0.141
0.090645,-0.0083,-0.0212,0.0603,0.064
0.100285,0.0111,-0.0210,-0.0670,0.071
0.110350,0.0301,-0.0206,-0.0474,0.060
0.120232,0.0105,0.0087,0.0898,0.091
0.130323,0.0109,-0.0015,0.0407,0.042
0.140231,0.0500,0.0474,-0.0278,0.074
0.150310,0.0397,0.0183,0.0015,0.044
0.160104,0.0101,-0.0111,0.0211,0.026
0.170215,0.0199,-0.0505,-0.0082,0.055
0.180272,0.0197,-0.0209,-0.0278,0.040
0.190442,0.0193,-0.0109,0.0114,0.025
0.200098,-0.0297,-0.0012,0.0506,0.059
0.210407,-0.0197,-0.0013,0.0212,0.029
0.220207,-0.0099,0.0085,-0.0278,0.031
0.230287,-0.0198,-0.0010,-0.0670,0.070
0.240587,-0.0392,0.0087,0.0015,0.040
0.250514,0.0001,0.0381,-0.0082,0.039
0.260108,0.0001,0.0185,0.0015,0.019
0.270122,0.0098,-0.0009,0.0015,0.010
0.280180,0.0100,0.0186,0.0113,0.024
0.290419,-0.0191,0.0087,-0.0082,0.023
0.300162,0.0297,-0.0107,-0.0082,0.033
0.310165,0.0199,0.0380,0.0113,0.044
0.320192,0.0103,0.0376,0.0113,0.041
0.330332,0.0396,-0.0015,0.0113,0.041
0.339983,0.0198,-0.0015,0.0015,0.020
0.350427,0.0294,0.0179,0.0310,0.046
0.360230,0.0098,-0.0114,0.0212,0.026
0.370214,0.0195,0.0178,0.0114,0.029
0.380155,-0.0098,-0.0210,-0.0082,0.025
0.390837,-0.0195,-0.0111,0.0015,0.022
0.400208,-0.0193,-0.0402,-0.0082,0.045
0.410362,0.0391,-0.0302,0.0408,0.064
0.420125,-0.0002,-0.0298,0.0113,0.032
0.430200,-0.0002,-0.0101,0.0309,0.033
0.440186,0.0191,-0.0293,0.0113,0.037
0.450487,0.0284,-0.0287,0.0015,0.040
0.460255,-0.0106,-0.0283,-0.0082,0.031
0.470229,0.0185,0.0204,0.0505,0.058
0.480205,0.0086,0.0007,0.0015,0.009
0.490383,0.0472,-0.0378,0.0211,0.064
0.500016,0.0175,-0.0180,-0.0278,0.037
0.510734,-0.0019,0.0014,0.0015,0.003
0.520257,0.0077,0.0303,-0.0278,0.042
0.530245,-0.0117,0.0299,-0.0376,0.049
0.540564,-0.0210,0.0292,0.0016,0.036
0.550587,-0.0110,-0.0001,0.0212,0.024
0.560149,-0.0399,0.0095,-0.0376,0.056
0.570299,-0.0293,-0.0098,-0.0082,0.032
0.580192,-0.0283,-0.0096,0.0015,0.030
0.590257,-0.0087,0.0195,-0.0377,0.043
0.600063,-0.0373,-0.0095,0.0210,0.044
0.610278,0.0018,-0.0092,0.0210,0.023
0.620136,0.0306,0.0006,0.0210,0.037
0.630175,0.0202,0.0007,-0.0083,0.022
0.640170,0.0006,-0.0089,0.0211,0.023
0.650205,0.0296,0.0199,0.0309,0.047
0.660136,0.0388,-0.0094,0.0309,0.050
0.670179,0.0092,-0.0095,0.0505,0.052
0.680175,-0.0006,-0.0478,0.0211,0.052
0.690550,0.0279,-0.0180,0.0113,0.035
0.700148,0.0177,0.0110,-0.0180,0.028
0.710667,-0.0113,-0.0082,0.0113,0.018
0.720200,0.0366,-0.0174,-0.0082,0.041
0.730360,-0.0120,0.0496,0.0016,0.051
0.740245,-0.0022,0.0292,-0.0081,0.030
0.750479,-0.0214,0.0191,-0.0179,0.034
0.760143,-0.0018,0.0091,-0.0179,0.020
0.770369,0.0076,-0.0195,0.0016,0.021
0.780068,-0.0211,-0.0094,0.0113,0.026
0.790267,-0.0107,0.0002,0.0015,0.011
0.800223,0.0086,0.0002,-0.0082,0.012
0.811116,-0.0107,0.0099,0.0113,0.018
0.820383,0.0086,0.0002,0.0015,0.009
0.830374,-0.0011,0.0196,0.0211,0.029
0.840259,-0.0010,0.0097,0.0113,0.015
0.850794,-0.0010,0.0000,0.0310,0.031
0.860499,0.0182,-0.0386,0.0309,0.053
0.870267,0.0274,-0.0186,0.0113,0.035
0.880360,0.0171,-0.0086,0.0015,0.019
0.890604,-0.0120,-0.0085,0.0113,0.019
0.900307,-0.0118,-0.0082,0.0015,0.014
0.910430,0.0075,-0.0081,0.0113,0.016
0.920282,-0.0214,0.0112,0.0113,0.027
0.930446,-0.0113,0.0206,0.0113,0.026
0.940173,-0.0111,-0.0182,-0.0082,0.023
0.950402,0.0080,0.0012,0.0015,0.008
0.960304,-0.0114,0.0012,0.0407,0.042
0.970405,0.0175,-0.0180,0.0113,0.028
0.980242,0.0075,-0.0369,-0.0082,0.039
0.990511,0.0171,0.0023,-0.0278,0.033
1.000305,0.0165,0.0118,0.0015,0.020
1.010446,0.0257,0.0499,-0.0081,0.057
1.020292,0.0060,0.0199,0.0016,0.021
1.030314,-0.0133,0.0003,-0.0571,0.059
1.040238,0.0062,0.0099,0.0212,0.024
1.050765,0.0159,0.0000,0.0114,0.020
1.060308,0.0157,0.0379,0.0017,0.041
1.070290,-0.0037,0.0371,0.0115,0.039
1.080219,0.0060,-0.0020,0.0115,0.013
1.090562,-0.0036,-0.0019,0.0115,0.012
1.100284,-0.0131,-0.0305,0.0115,0.035
1.110358,-0.0131,-0.0010,-0.0277,0.031
1.120275,-0.0322,-0.0010,0.0114,0.034
1.130378,0.0067,-0.0106,0.0212,0.025
1.140359,-0.0031,-0.0104,-0.0081,0.014
1.150563,0.0064,-0.0199,0.0114,0.024
1.160346,-0.0222,-0.0194,0.0016,0.030
1.171023,0.0069,-0.0384,-0.0179,0.043
1.180220,0.0164,-0.0088,0.0114,0.022
1.190385,0.0064,0.0009,0.0114,0.013
1.200310,0.0160,-0.0183,0.0212,0.032
1.210527,-0.0035,-0.0084,-0.0179,0.020
1.220252,0.0445,0.0205,0.0114,0.050
1.230312,0.0340,0.0297,-0.0178,0.049
1.240245,-0.0147,-0.0093,-0.0179,0.025
1.250472,0.0241,0.0198,0.0213,0.038
1.260212,0.0335,0.0002,0.0213,0.040
1.270226,0.0040,0.0097,0.0017,0.011
1.280211,-0.0056,0.0191,-0.0178,0.027
1.290668,0.0138,-0.0005,-0.0570,0.059
1.300583,-0.0439,0.0282,0.0115,0.053
1.310401,-0.0045,0.0277,0.0213,0.035
