time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001069,-0.0294,-0.0007,-0.2640,0.266
0.024592,-0.0079,-0.0079,0.0323,0.034
0.025153,-0.0106,-0.0030,0.0270,0.029
0.026692,-0.0108,-0.0006,-0.0323,0.034
0.039663,-0.0132,-0.0075,-0.0011,0.015
0.046580,-0.0107,0.0021,-0.0011,0.011
0.057433,0.0011,-0.0121,-0.0105,0.016
0.066429,-0.0132,-0.0094,0.0014,0.016
0.077090,-0.0132,0.0050,-0.0198,0.024
0.092638,-0.0130,0.0002,-0.0124,0.018
0.096945,-0.0153,-0.0115,-0.0027,0.019
0.109567,0.0037,-0.0017,-0.0027,0.005
0.117066,0.0012,-0.0087,-0.0027,0.009
0.127095,0.0010,-0.0133,0.0045,0.014
0.142994,-0.0110,-0.0085,-0.0239,0.028
0.146942,-0.0016,0.0010,0.0001,0.002
0.156767,-0.0040,-0.0039,-0.0070,0.009
0.166930,0.0077,0.0056,-0.0069,0.012
0.177174,-0.0067,-0.0016,0.0050,0.008
0.190997,0.0029,0.0149,-0.0045,0.016
0.197156,0.0076,0.0053,0.0050,0.011
0.208879,-0.0068,0.0052,0.0049,0.010
0.217366,-0.0023,0.0005,0.0025,0.003
0.227396,-0.0070,-0.0019,-0.0023,0.008
0.241202,0.0000,0.0052,-0.0022,0.006
0.247054,0.0045,0.0027,-0.0046,0.007
0.257370,-0.0097,-0.0020,-0.0021,0.010
0.267561,-0.0050,-0.0043,-0.0021,0.007
0.277223,-0.0003,0.0100,0.0027,0.010
0.293396,0.0046,0.0074,-0.0092,0.013
0.297470,0.0115,0.0003,0.0004,0.012
0.309922,-0.0053,-0.0044,-0.0067,0.010
0.317779,-0.0053,0.0098,-0.0042,0.012
0.327371,0.0042,0.0097,-0.0065,0.012
0.341093,-0.0052,0.0025,-0.0064,0.009
0.347792,-0.0029,-0.0022,0.0008,0.004
0.359285,-0.0007,0.0073,0.0008,0.007
0.367836,-0.0125,-0.0021,-0.0110,0.017
0.378193,-0.0126,0.0002,-0.0085,0.015
0.390837,0.0017,0.0048,0.0011,0.005
0.397712,-0.0007,-0.0048,-0.0013,0.005
0.408561,-0.0174,0.0118,-0.0130,0.025
0.418083,-0.0123,-0.0002,0.0013,0.012
0.428095,0.0065,-0.0002,-0.0105,0.012
0.441727,0.0132,0.0022,-0.0009,0.013
0.449751,-0.0035,-0.0002,-0.0056,0.007
0.458417,-0.0012,0.0021,-0.0055,0.006
0.468669,-0.0152,0.0044,-0.0054,0.017
0.478361,-0.0009,-0.0167,-0.0100,0.019
0.493054,0.0038,0.0001,0.0019,0.004
0.498678,-0.0081,0.0048,-0.0122,0.015
0.510833,-0.0105,-0.0046,-0.0073,0.014
0.518198,-0.0103,0.0050,-0.0025,0.012
0.528479,-0.0078,0.0026,-0.0048,0.010
0.543651,0.0064,-0.0044,-0.0071,0.011
